year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,price
2018.0,mitsubishi,outlander es sport,good,6 cylinders,other,15207.0,clean,automatic,4wd,SUV,white,wv,19990
2016.0,bmw,5 series 550i sedan 4d,good,8 cylinders,gas,54482.0,clean,other,rwd,sedan,blue,ga,31990
1990.0,jeep,wrangler,good,6 cylinders,gas,72000.0,clean,manual,4wd,sedan,white,va,11977
2018.0,chevrolet,other,excellent,4 cylinders,gas,24100.0,clean,automatic,fwd,SUV,brown,nc,18500
2011.0,hyundai,elantra,good,6 cylinders,gas,135659.0,clean,automatic,4wd,sedan,black,fl,0
2013.0,buick,verano,excellent,4 cylinders,gas,16853.0,clean,automatic,fwd,sedan,black,ny,14500
2012.0,ford,f150 fx4,good,6 cylinders,gas,150702.0,clean,automatic,4wd,pickup,white,or,19995
2003.0,ram,2500,fair,8 cylinders,gas,214000.0,clean,automatic,4wd,truck,black,ny,6800
2003.0,chrysler,sebring,excellent,4 cylinders,gas,175880.0,clean,automatic,fwd,coupe,silver,oh,2998
2017.0,infiniti,q60 20t coupe 2d,good,6 cylinders,other,15868.0,clean,other,4wd,coupe,blue,ma,28990
2010.0,nissan,murano sl,good,6 cylinders,gas,121264.0,clean,automatic,4wd,SUV,custom,pa,7950
2013.0,mercedes-benz,eclass e 550,good,8 cylinders,gas,42045.0,clean,automatic,rwd,coupe,white,oh,25990
2004.0,bmw,other,good,8 cylinders,gas,129700.0,clean,automatic,rwd,sedan,silver,nj,6000
2013.0,cadillac,srx,good,6 cylinders,gas,116411.0,clean,automatic,4wd,sedan,white,id,14988
2007.0,chrysler,300,good,6 cylinders,gas,147921.0,clean,automatic,4wd,sedan,black,ok,5995
2006.0,acura,mdx touring,good,6 cylinders,gas,261305.0,clean,automatic,4wd,SUV,white,co,0
2012.0,ford,flex sel,excellent,4 cylinders,gas,160000.0,clean,automatic,fwd,SUV,custom,ca,8500
2010.0,nissan,sentra,good,4 cylinders,gas,113000.0,clean,automatic,4wd,sedan,red,fl,3500
2006.0,toyota,highlander,good,6 cylinders,gas,168235.0,clean,automatic,4wd,SUV,blue,co,6995
2016.0,subaru,forester,excellent,4 cylinders,gas,138604.0,clean,automatic,4wd,sedan,silver,nc,12999
2018.0,audi,a3 sportback etron premium,good,6 cylinders,other,34226.0,clean,other,fwd,wagon,white,az,27990
2011.0,toyota,corolla,good,4 cylinders,gas,153523.0,clean,automatic,fwd,sedan,red,nv,8991
2015.0,ford,explorer,good,6 cylinders,gas,125353.0,clean,automatic,4wd,SUV,silver,nj,15995
2004.0,kia,sedona lx,good,6 cylinders,gas,169000.0,clean,automatic,4wd,mini-van,green,oh,2000
1993.0,lincoln,town car,good,6 cylinders,gas,130000.0,clean,automatic,4wd,sedan,white,fl,1500
2012.0,volkswagen,routan,good,6 cylinders,gas,130541.0,clean,automatic,fwd,other,white,fl,7988
1997.0,mercedes-benz,benz,fair,6 cylinders,diesel,150000.0,parts only,automatic,rwd,sedan,silver,al,800
2008.0,jeep,liberty,good,6 cylinders,gas,190000.0,clean,automatic,4wd,SUV,red,ct,3950
2020.0,mitsubishi,mirage es,like new,3 cylinders,gas,1404.0,salvage,automatic,fwd,hatchback,silver,ca,8900
1997.0,lincoln,towncar,good,8 cylinders,gas,160000.0,clean,automatic,4wd,sedan,blue,az,1500
2020.0,audi,a6 45 tfsi premium plus,good,6 cylinders,gas,27160.0,clean,other,4wd,sedan,black,pa,41590
2019.0,jaguar,epace p300 rdynamic se,good,6 cylinders,other,17961.0,clean,other,4wd,SUV,silver,ca,39990
2012.0,toyota,camry,good,4 cylinders,gas,116854.0,clean,automatic,fwd,sedan,white,pa,9999
2003.0,mitsubishi,other,fair,4 cylinders,gas,225000.0,clean,automatic,fwd,coupe,blue,ok,1000
2018.0,audi,a4 20t premium plus,good,6 cylinders,other,38146.0,clean,automatic,4wd,sedan,white,il,29889
2004.0,ford,f350 super duty,good,6 cylinders,diesel,274314.0,clean,automatic,4wd,sedan,white,md,4000
2017.0,honda,accord sport,excellent,4 cylinders,gas,49670.0,clean,automatic,fwd,sedan,white,ny,15400
2005.0,buick,lacrosse,good,6 cylinders,gas,1000.0,clean,automatic,4wd,other,custom,mi,5000
2009.0,ford,f150,like new,8 cylinders,gas,222200.0,clean,automatic,4wd,sedan,white,tx,14988
2017.0,infiniti,q60 30t sport coupe 2d,good,6 cylinders,gas,21818.0,clean,other,rwd,coupe,blue,ri,32990
2018.0,infiniti,q50 30t sport sedan 4d,good,6 cylinders,gas,16778.0,clean,other,4wd,sedan,white,nc,30590
2008.0,ford,taurus x,good,6 cylinders,gas,181700.0,clean,automatic,fwd,hatchback,black,nc,2950
2018.0,ford,focus sel,good,6 cylinders,gas,32697.0,clean,automatic,fwd,sedan,white,ca,15800
2020.0,kia,other,like new,4 cylinders,gas,12128.0,clean,automatic,4wd,sedan,blue,nc,16500
2014.0,chevrolet,corvette stingray,good,6 cylinders,gas,4668.0,clean,manual,rwd,sedan,white,ar,53521
2011.0,subaru,forester,good,4 cylinders,gas,176296.0,clean,automatic,4wd,SUV,white,tn,0
2019.0,nissan,altima,good,6 cylinders,gas,34563.0,clean,automatic,fwd,sedan,silver,ak,19795
2005.0,chevrolet,silverado 1500hd,like new,8 cylinders,gas,166000.0,clean,automatic,4wd,truck,white,va,16500
2021.0,jeep,other,new,8 cylinders,gas,10.0,clean,automatic,4wd,sedan,white,nm,87999
2001.0,dodge,dakota,excellent,8 cylinders,gas,86400.0,clean,automatic,4wd,pickup,red,oh,12500
2001.0,ford,excursion limited,excellent,10 cylinders,gas,125000.0,clean,automatic,rwd,truck,custom,md,8500
2013.0,mercedes-benz,benz c300 4matic,like new,6 cylinders,gas,91337.0,clean,automatic,4wd,sedan,black,nj,14985
2005.0,chrysler,crossfire,excellent,6 cylinders,gas,103776.0,clean,manual,rwd,convertible,black,mi,8965
2003.0,honda,pilot,excellent,6 cylinders,gas,212000.0,clean,automatic,4wd,sedan,white,wi,3900
2019.0,dodge,grand caravan,good,6 cylinders,gas,45517.0,clean,automatic,fwd,van,red,tx,21403
2020.0,lincoln,continental sedan 4d,good,6 cylinders,other,9800.0,clean,other,fwd,sedan,black,az,37990
2008.0,ford,focus se,good,4 cylinders,gas,95665.0,clean,automatic,4wd,sedan,blue,il,4999
2003.0,mercedes-benz,benz e320,excellent,6 cylinders,gas,137786.0,clean,automatic,fwd,sedan,blue,ca,5500
2001.0,subaru,other,good,4 cylinders,gas,258000.0,clean,automatic,4wd,wagon,green,ca,2950
2008.0,dodge,dakota,good,6 cylinders,gas,1.0,clean,automatic,fwd,pickup,white,il,2100
2019.0,mercedes-benz,claclass,good,6 cylinders,gas,39772.0,clean,automatic,4wd,coupe,black,la,27990
2011.0,volkswagen,jetta,good,5 cylinders,gas,85000.0,salvage,automatic,fwd,sedan,grey,ny,4200
2015.0,hyundai,elantra,excellent,4 cylinders,gas,108000.0,clean,automatic,4wd,sedan,white,tx,7750
2001.0,ford,econoline cargo van,like new,8 cylinders,gas,225000.0,clean,automatic,fwd,van,brown,co,10000
2016.0,subaru,wrx,good,4 cylinders,gas,56000.0,salvage,manual,4wd,sedan,white,az,14500
2007.0,toyota,camry,excellent,6 cylinders,gas,160000.0,clean,automatic,fwd,sedan,grey,oh,2500
2016.0,nissan,versa note sv,like new,4 cylinders,gas,58000.0,clean,automatic,fwd,hatchback,grey,fl,10999
2008.0,ford,f350 super duty,excellent,8 cylinders,diesel,97290.0,clean,automatic,4wd,truck,red,mn,22000
2018.0,bmw,4 series 430i gran coupe,good,6 cylinders,gas,28987.0,clean,other,rwd,coupe,black,ny,26990
2006.0,ford,other,good,6 cylinders,diesel,150000.0,clean,automatic,4wd,sedan,white,nm,3500
2013.0,chrysler,200,good,4 cylinders,gas,147494.0,clean,automatic,fwd,sedan,black,dc,5975
2005.0,honda,crv se awd,excellent,4 cylinders,gas,156000.0,clean,automatic,4wd,sedan,white,ca,4900
2018.0,nissan,frontier crew cab pro4x,good,6 cylinders,gas,33036.0,clean,other,4wd,pickup,black,al,24590
2018.0,mini,cooper countryman,good,3 cylinders,gas,22199.0,clean,automatic,fwd,sedan,white,hi,23331
2019.0,chevrolet,traverse,good,6 cylinders,other,42375.0,clean,automatic,fwd,sedan,black,ia,32980
2018.0,alfa-romeo,romeo giulia sedan 4d,good,6 cylinders,gas,19197.0,clean,other,rwd,sedan,white,ny,24590
2014.0,dodge,grand caravan sxt,excellent,6 cylinders,gas,102000.0,clean,automatic,fwd,mini-van,brown,tx,8900
2008.0,chevrolet,suburban,excellent,6 cylinders,gas,134000.0,clean,manual,4wd,SUV,black,oh,13200
2007.0,ford,explorer sport trac,excellent,8 cylinders,gas,128804.0,clean,automatic,4wd,pickup,orange,il,12500
2011.0,mercedes-benz,glk,excellent,6 cylinders,gas,135668.0,clean,automatic,rwd,sedan,black,ok,2500
2018.0,kia,sportage lx sport utility 4d,good,6 cylinders,other,30688.0,clean,other,4wd,other,orange,pa,18990
2019.0,acura,mdx shawd wtechnology,good,6 cylinders,other,14906.0,clean,other,4wd,other,white,ct,38590
2019.0,cadillac,xts,good,6 cylinders,gas,28193.0,clean,automatic,fwd,sedan,black,ca,28513
2005.0,chevrolet,suburban,good,8 cylinders,gas,165000.0,clean,automatic,4wd,SUV,silver,nm,6500
2015.0,chevrolet,cruze,good,6 cylinders,gas,83130.0,clean,automatic,4wd,sedan,white,oh,10932
2017.0,gmc,other,good,6 cylinders,gas,94812.0,clean,automatic,4wd,sedan,white,mi,42000
2013.0,chevrolet,corvette grand sport,good,8 cylinders,gas,7803.0,clean,other,rwd,coupe,black,ar,43990
2003.0,mercedes-benz,benz clk 320,fair,6 cylinders,gas,116000.0,clean,automatic,fwd,convertible,black,va,3500
2001.0,chevrolet,silverado 1500,excellent,6 cylinders,gas,141005.0,clean,automatic,4wd,pickup,black,tx,4795
2006.0,dodge,grand caravan,good,6 cylinders,gas,184103.0,clean,automatic,fwd,sedan,silver,ga,2900
2015.0,mercedes-benz,eclass,good,6 cylinders,gas,59056.0,clean,automatic,4wd,sedan,blue,mn,23298
2015.0,subaru,outback,good,6 cylinders,gas,39548.0,clean,automatic,4wd,sedan,grey,ma,99
2010.0,honda,crv,good,6 cylinders,gas,173000.0,clean,automatic,4wd,SUV,black,vt,9995
2016.0,ford,f150,like new,6 cylinders,gas,73000.0,clean,automatic,4wd,pickup,black,id,50000
2016.0,chevrolet,cruze,good,6 cylinders,gas,52993.0,clean,automatic,4wd,sedan,white,mi,9995
2016.0,toyota,4runner,good,6 cylinders,gas,49994.0,clean,automatic,4wd,SUV,white,or,47990
2019.0,toyota,other,good,6 cylinders,gas,32508.0,clean,automatic,fwd,sedan,silver,wa,0
1972.0,ford,other,excellent,8 cylinders,gas,118000.0,clean,automatic,rwd,coupe,red,pa,18500
2007.0,ford,e350 cargo van,fair,8 cylinders,gas,241960.0,clean,automatic,rwd,sedan,white,va,4000
2006.0,jeep,liberty,good,6 cylinders,gas,135429.0,clean,automatic,4wd,SUV,white,pa,4650
2011.0,ram,1500 laramie,good,6 cylinders,gas,193739.0,clean,automatic,4wd,sedan,white,il,17995
2007.0,bmw,m5,good,10 cylinders,gas,66838.0,clean,automatic,rwd,sedan,white,ia,22995
2013.0,ford,expedition,like new,8 cylinders,gas,69500.0,clean,automatic,4wd,truck,black,mn,23490
2009.0,ford,f150,good,6 cylinders,gas,141000.0,clean,automatic,4wd,truck,grey,il,8000
2006.0,mercedes-benz,benz s500,excellent,8 cylinders,gas,124500.0,clean,automatic,4wd,sedan,silver,fl,7500
2000.0,nissan,other,good,6 cylinders,gas,176500.0,clean,manual,4wd,sedan,white,wa,1750
2006.0,dodge,charger,salvage,6 cylinders,gas,172131.0,clean,automatic,4wd,sedan,black,ks,1200
2003.0,ford,f150,excellent,8 cylinders,gas,149055.0,clean,automatic,4wd,pickup,red,oh,2595
2015.0,mercedes-benz,sprinter 2500,good,6 cylinders,diesel,68533.0,clean,automatic,4wd,sedan,white,hi,28500
2006.0,mercedes-benz,benz e350,excellent,6 cylinders,gas,58000.0,clean,automatic,fwd,sedan,black,fl,6900
2013.0,mercedes-benz,other,good,6 cylinders,gas,34016.0,clean,automatic,4wd,coupe,grey,ca,25250
2018.0,honda,other,like new,6 cylinders,gas,33263.0,salvage,automatic,rwd,SUV,black,ca,22000
2016.0,mazda,other,good,6 cylinders,gas,37158.0,clean,automatic,4wd,SUV,white,nm,0
2020.0,ford,f150,good,6 cylinders,gas,11567.0,clean,automatic,4wd,sedan,white,in,45979
2001.0,chevrolet,blazer,good,6 cylinders,gas,168101.0,clean,automatic,4wd,sedan,white,pa,4250
2014.0,bmw,6 series 640i convertible 2d,good,6 cylinders,gas,35788.0,clean,automatic,rwd,other,white,ma,34990
2012.0,rover,other,new,8 cylinders,gas,95.0,clean,automatic,4wd,SUV,blue,ma,0
2006.0,hyundai,sonata,good,6 cylinders,gas,1.0,clean,automatic,4wd,sedan,white,il,1400
1992.0,ford,econoline e350,good,8 cylinders,diesel,107000.0,clean,automatic,rwd,other,white,ks,9850
2019.0,ford,f350 lariat,like new,8 cylinders,diesel,23179.0,clean,automatic,4wd,truck,white,nv,80000
2019.0,chevrolet,colorado crew cab z71,good,6 cylinders,gas,7711.0,clean,other,4wd,pickup,white,fl,34590
2008.0,pontiac,grand prix,good,6 cylinders,gas,140.0,clean,automatic,4wd,sedan,black,ca,4800
2020.0,cadillac,xt4 sport suv 4d,good,6 cylinders,gas,10647.0,clean,other,4wd,hatchback,black,pa,35990
2008.0,mini,cooper s,like new,4 cylinders,gas,70000.0,clean,manual,4wd,sedan,white,az,8500
2018.0,subaru,impreza sport,like new,4 cylinders,gas,22000.0,clean,automatic,4wd,sedan,red,nc,16999
2005.0,chevrolet,trailblazer,good,6 cylinders,gas,140000.0,clean,automatic,4wd,SUV,black,wi,4000
2006.0,gmc,other,excellent,6 cylinders,diesel,277450.0,clean,automatic,rwd,truck,white,fl,23988
2011.0,jeep,wrangler unlimited sahara,excellent,6 cylinders,gas,92384.0,clean,automatic,4wd,SUV,silver,id,23500
2008.0,gmc,sierra 1500,good,8 cylinders,gas,136800.0,clean,automatic,4wd,pickup,brown,mi,9500
2015.0,tesla,model s,excellent,6 cylinders,gas,34485.0,clean,automatic,4wd,sedan,white,wa,57977
2001.0,lincoln,continental,excellent,8 cylinders,gas,191767.0,clean,automatic,fwd,sedan,white,sc,3495
2019.0,infiniti,q60 30t luxe coupe 2d,good,6 cylinders,other,18605.0,clean,other,4wd,coupe,blue,ny,36590
2009.0,ford,f250,good,6 cylinders,gas,230000.0,clean,automatic,fwd,sedan,yellow,ca,0
2016.0,kia,optima,good,4 cylinders,gas,47240.0,clean,automatic,fwd,sedan,white,or,219
2017.0,nissan,nv200,excellent,4 cylinders,gas,96000.0,salvage,automatic,fwd,van,white,ca,11000
2016.0,jeep,other,like new,6 cylinders,gas,43000.0,clean,automatic,4wd,SUV,blue,ca,16997
2012.0,buick,lacrosse,excellent,6 cylinders,gas,113000.0,clean,automatic,4wd,sedan,silver,nj,7900
2007.0,saturn,other,good,6 cylinders,gas,139050.0,clean,automatic,fwd,sedan,white,ky,4500
2017.0,chevrolet,malibu,good,4 cylinders,gas,59154.0,clean,automatic,fwd,sedan,white,tn,17959
1988.0,chevrolet,k3500,excellent,8 cylinders,gas,127000.0,clean,automatic,4wd,pickup,black,or,14000
1995.0,toyota,other,excellent,8 cylinders,gas,27000.0,clean,automatic,rwd,sedan,custom,fl,10500
2004.0,volkswagen,other,good,6 cylinders,diesel,176000.0,clean,automatic,4wd,sedan,green,nm,3550
2017.0,buick,regal premium ii sedan 4d,good,6 cylinders,gas,14934.0,clean,other,fwd,sedan,white,va,21590
2008.0,honda,civic,excellent,6 cylinders,gas,66521.0,clean,automatic,4wd,coupe,silver,fl,8973
